swimmers that were born in Moscow.,(ROOT (NP (NP (NNS swimmers)) (SBAR (WHNP (WDT that)) (S (VP (VBD were) (VP (VBN born) (PP (IN in) (NP (NNP Moscow))))))) (. .))),"[NNS, WDT, VBD, VBN, IN, NNP, .]"
bandleaders that play trumpet.,(ROOT (NP (NP (NNS bandleaders)) (SBAR (WHNP (WDT that)) (S (VP (VBP play) (NP (NN trumpet))))) (. .))),"[NNS, WDT, VBP, NN, .]"
trumpet players that were bandleaders.,(ROOT (NP (NP (NN trumpet) (NNS players)) (SBAR (WHNP (WDT that)) (S (VP (VBD were) (NP (NNS bandleaders))))) (. .))),"[NN, NNS, WDT, VBD, NNS, .]"
actors starring in movies directed by William Shatner.,(ROOT (FRAG (NP (NNS actors)) (VP (VBG starring) (PP (IN in) (NP (NP (NNS movies)) (VP (VBN directed) (PP (IN by) (NP (NNP William) (NNP Shatner))))))) (. .))),"[NNS, VBG, IN, NNS, VBN, IN, NNP, NNP, .]"
actors who were born in Berlin.,(ROOT (NP (NP (NNS actors)) (SBAR (WHNP (WP who)) (S (VP (VBD were) (VP (VBN born) (PP (IN in) (NP (NNP Berlin))))))) (. .))),"[NNS, WP, VBD, VBN, IN, NNP, .]"
B-sides of the Ramones.,(ROOT (NP (NP (NN B) (HYPH -) (NNS sides)) (PP (IN of) (NP (DT the) (NNPS Ramones))) (. .))),"[NN, HYPH, NNS, IN, DT, NNPS, .]"
books written by Danielle Steel.,(ROOT (S (NP (NNS books)) (VP (VBN written) (PP (IN by) (NP (NNP Danielle) (NNP Steel)))) (. .))),"[NNS, VBN, IN, NNP, NNP, .]"
Danish films.,(ROOT (NP (JJ Danish) (NNS films) (. .))),"[JJ, NNS, .]"
Danish movies.,(ROOT (NP (JJ Danish) (NNS movies) (. .))),"[JJ, NNS, .]"
ESA astronauts.,(ROOT (NP (NN ESA) (NNS astronauts) (. .))),"[NN, NNS, .]"
films produced by Hal Roach.,(ROOT (S (NP (NNS films)) (VP (VBN produced) (PP (IN by) (NP (NNP Hal) (NNP Roach)))) (. .))),"[NNS, VBN, IN, NNP, NNP, .]"
islands that belong to Japan.,(ROOT (NP (NP (NNS islands)) (SBAR (WHNP (WDT that)) (S (VP (VBP belong) (PP (IN to) (NP (NNP Japan)))))) (. .))),"[NNS, WDT, VBP, IN, NNP, .]"
launch pads operated by NASA.,(ROOT (S (NP (NN launch) (NNS pads)) (VP (VBN operated) (PP (IN by) (NP (NNP NASA)))) (. .))),"[NN, NNS, VBN, IN, NNP, .]"
libraries established earlier than 1400.,(ROOT (S (NP (NNS libraries)) (VP (VBN established) (S (ADJP (JJR earlier))) (PP (IN than) (NP (CD 1400)))) (. .))),"[NNS, VBN, JJR, IN, CD, .]"
Methodist politicians.,(ROOT (NP (ADJP (JJ Methodist)) (NNS politicians) (. .))),"[JJ, NNS, .]"
movies directed by Francis Ford Coppola.,(ROOT (S (NP (NNS movies)) (VP (VBN directed) (PP (IN by) (NP (NNP Francis) (NNP Ford) (NNP Coppola)))) (. .))),"[NNS, VBN, IN, NNP, NNP, NNP, .]"
movies with Tom Cruise.,(ROOT (NP (NP (NNS movies)) (PP (IN with) (NP (NNP Tom) (NNP Cruise))) (. .))),"[NNS, IN, NNP, NNP, .]"
people that were born in Vienna and died in Berlin.,(ROOT (NP (NP (NNS people)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBD were) (VP (VBN born) (PP (IN in) (NP (NNP Vienna))))) (CC and) (VP (VBD died) (PP (IN in) (NP (NNP Berlin))))))) (. .))),"[NNS, WDT, VBD, VBN, IN, NNP, CC, VBD, IN, NNP, .]"
soccer clubs in the Premier League.,(ROOT (NP (NP (NN soccer) (NNS clubs)) (PP (IN in) (NP (DT the) (NNP Premier) (NNP League))) (. .))),"[NN, NNS, IN, DT, NNP, NNP, .]"
Swedish holidays.,(ROOT (NP (JJ Swedish) (NNS holidays) (. .))),"[JJ, NNS, .]"
Swedish oceanographers.,(ROOT (NP (JJ Swedish) (NNS oceanographers) (. .))),"[JJ, NNS, .]"
TV shows with Neil Patrick Harris.,(ROOT (S (NP (NN TV)) (VP (VBZ shows) (PP (IN with) (NP (NNP Neil) (NNP Patrick) (NNP Harris)))) (. .))),"[NN, VBZ, IN, NNP, NNP, NNP, .]"
video games published by Mean Hamster Software.,(ROOT (S (NP (NN video) (NNS games)) (VP (VBN published) (PP (IN by) (NP (NP (NNP Mean) (NN Hamster)) (NP (NNP Software))))) (. .))),"[NN, NNS, VBN, IN, NNP, NN, NNP, .]"
writers that won the Nobel Prize in literature.,(ROOT (NP (NP (NNS writers)) (SBAR (WHNP (WDT that)) (S (VP (VBD won) (NP (DT the) (NNP Nobel) (NNP Prize)) (PP (IN in) (NP (NN literature)))))) (. .))),"[NNS, WDT, VBD, DT, NNP, NNP, IN, NN, .]"
birthdays of all actors of the television show Charmed.,(ROOT (NP (NP (NNS birthdays)) (PP (IN of) (NP (NP (DT all) (NNS actors)) (PP (IN of) (NP (DT the) (NML (NN television) (NN show)) (NNP Charmed))))) (. .))),"[NNS, IN, DT, NNS, IN, DT, NN, NN, NNP, .]"
capitals of all countries that the Himalayas run through.,(ROOT (NP (NP (NNS capitals)) (PP (IN of) (NP (NP (DT all) (NNS countries)) (SBAR (IN that) (S (NP (DT the) (NNP Himalayas)) (VP (VB run) (PP (IN through))))))) (. .))),"[NNS, IN, DT, NNS, IN, DT, NNP, VB, IN, .]"
grandchildren of Bruce Lee.,(ROOT (NP (NP (NNS grandchildren)) (PP (IN of) (NP (NNP Bruce) (NNP Lee))) (. .))),"[NNS, IN, NNP, NNP, .]"
grandchildren of Elvis Presley.,(ROOT (NP (NP (NNS grandchildren)) (PP (IN of) (NP (NNP Elvis) (NNP Presley))) (. .))),"[NNS, IN, NNP, NNP, .]"
